order_id,node_id,order_date,receipt_date,quantity
0,0,2023-01-01,2023-01-05,84
1,0,2023-01-08,2023-01-10,75
2,0,2023-01-15,2023-01-20,33
3,0,2023-01-22,2023-01-25,92
4,0,2023-01-29,2023-01-31,37
5,0,2023-02-05,2023-02-10,37
6,0,2023-02-12,2023-02-16,92
7,0,2023-02-19,2023-02-22,61
8,0,2023-02-26,2023-03-01,52
9,0,2023-03-05,2023-03-08,66
10,0,2023-03-12,2023-03-17,98
11,0,2023-03-19,2023-03-24,33
12,0,2023-03-26,2023-03-29,81
13,0,2023-04-02,2023-04-06,50
14,0,2023-04-09,2023-04-12,33
15,0,2023-04-16,2023-04-19,56
16,0,2023-04-23,2023-04-26,66
17,0,2023-04-30,2023-05-03,40
18,0,2023-05-07,2023-05-12,55
19,0,2023-05-14,2023-05-17,72
20,0,2023-05-21,2023-05-25,68
21,0,2023-05-28,2023-05-30,79
22,0,2023-06-04,2023-06-06,87
23,0,2023-06-11,2023-06-14,55
24,0,2023-06-18,2023-06-21,56
25,0,2023-06-25,2023-06-29,62
26,0,2023-07-02,2023-07-04,67
27,0,2023-07-09,2023-07-12,33
28,0,2023-07-16,2023-07-21,48
29,0,2023-07-23,2023-07-27,37
30,0,2023-07-30,2023-08-02,53
31,0,2023-08-06,2023-08-08,98
32,0,2023-08-13,2023-08-16,68
33,0,2023-08-20,2023-08-24,57
34,0,2023-08-27,2023-08-31,67
35,0,2023-09-03,2023-09-05,75
36,0,2023-09-10,2023-09-12,57
37,0,2023-09-17,2023-09-20,58
38,0,2023-09-24,2023-09-26,77
39,0,2023-10-01,2023-10-04,29
40,0,2023-10-08,2023-10-10,65
41,0,2023-10-15,2023-10-19,66
42,0,2023-10-22,2023-10-26,81
43,0,2023-10-29,2023-11-03,98
44,0,2023-11-05,2023-11-10,84
45,0,2023-11-12,2023-11-15,62
46,0,2023-11-19,2023-11-23,37
47,0,2023-11-26,2023-11-30,69
48,0,2023-12-03,2023-12-07,87
49,0,2023-12-10,2023-12-14,94
50,0,2023-12-17,2023-12-22,86
51,0,2023-12-24,2023-12-27,39
52,0,2023-12-31,2024-01-03,78
53,0,2024-01-07,2024-01-12,91
54,0,2024-01-14,2024-01-18,76
55,0,2024-01-21,2024-01-26,76
56,0,2024-01-28,2024-01-30,62
57,0,2024-02-04,2024-02-07,72
58,0,2024-02-11,2024-02-15,47
59,0,2024-02-18,2024-02-21,31
60,0,2024-02-25,2024-02-28,87
61,0,2024-03-03,2024-03-07,95
62,0,2024-03-10,2024-03-15,89
63,0,2024-03-17,2024-03-19,50
64,0,2024-03-24,2024-03-26,32
65,0,2024-03-31,2024-04-02,46
66,0,2024-04-07,2024-04-09,88
67,0,2024-04-14,2024-04-18,74
68,0,2024-04-21,2024-04-25,97
69,0,2024-04-28,2024-04-30,50
70,0,2024-05-05,2024-05-08,66
71,0,2024-05-12,2024-05-16,84
72,0,2024-05-19,2024-05-23,42
73,0,2024-05-26,2024-05-30,97
74,0,2024-06-02,2024-06-06,69
75,0,2024-06-09,2024-06-11,25
76,0,2024-06-16,2024-06-18,26
77,1,2023-01-01,2023-01-02,91
78,1,2023-01-08,2023-01-09,73
79,1,2023-01-15,2023-01-18,82
80,1,2023-01-22,2023-01-24,83
81,1,2023-01-29,2023-01-30,56
82,1,2023-02-05,2023-02-06,84
83,1,2023-02-12,2023-02-13,95
84,1,2023-02-19,2023-02-20,37
85,1,2023-02-26,2023-02-28,82
86,1,2023-03-05,2023-03-07,48
87,1,2023-03-12,2023-03-13,49
88,1,2023-03-19,2023-03-20,55
89,1,2023-03-26,2023-03-29,89
90,1,2023-04-02,2023-04-05,26
91,1,2023-04-09,2023-04-10,57
92,1,2023-04-16,2023-04-18,76
93,1,2023-04-23,2023-04-24,33
94,1,2023-04-30,2023-05-01,84
95,1,2023-05-07,2023-05-10,95
96,1,2023-05-14,2023-05-16,31
97,1,2023-05-21,2023-05-24,36
98,1,2023-05-28,2023-05-29,98
99,1,2023-06-04,2023-06-06,39
100,1,2023-06-11,2023-06-13,30
101,1,2023-06-18,2023-06-19,96
102,1,2023-06-25,2023-06-26,91
103,1,2023-07-02,2023-07-04,74
104,1,2023-07-09,2023-07-11,66
105,1,2023-07-16,2023-07-17,93
106,1,2023-07-23,2023-07-24,74
107,1,2023-07-30,2023-08-01,74
108,1,2023-08-06,2023-08-07,88
109,1,2023-08-13,2023-08-14,73
110,1,2023-08-20,2023-08-22,62
111,1,2023-08-27,2023-08-28,54
112,1,2023-09-03,2023-09-04,62
113,1,2023-09-10,2023-09-12,64
114,1,2023-09-17,2023-09-20,52
115,1,2023-09-24,2023-09-25,58
116,1,2023-10-01,2023-10-02,85
117,1,2023-10-08,2023-10-11,56
118,1,2023-10-15,2023-10-18,26
119,1,2023-10-22,2023-10-23,46
120,1,2023-10-29,2023-10-30,42
121,1,2023-11-05,2023-11-07,84
122,1,2023-11-12,2023-11-13,58
123,1,2023-11-19,2023-11-20,46
124,1,2023-11-26,2023-11-29,85
125,1,2023-12-03,2023-12-04,26
126,1,2023-12-10,2023-12-13,38
127,1,2023-12-17,2023-12-19,87
128,1,2023-12-24,2023-12-27,66
129,1,2023-12-31,2024-01-01,83
130,1,2024-01-07,2024-01-09,87
131,1,2024-01-14,2024-01-16,95
132,1,2024-01-21,2024-01-24,29
133,1,2024-01-28,2024-01-29,84
134,1,2024-02-04,2024-02-05,78
135,1,2024-02-11,2024-02-12,40
136,1,2024-02-18,2024-02-20,94
137,1,2024-02-25,2024-02-28,55
138,1,2024-03-03,2024-03-04,91
139,1,2024-03-10,2024-03-13,70
140,1,2024-03-17,2024-03-19,64
141,1,2024-03-24,2024-03-25,36
142,1,2024-03-31,2024-04-01,93
143,1,2024-04-07,2024-04-08,66
144,1,2024-04-14,2024-04-15,25
145,1,2024-04-21,2024-04-24,26
146,1,2024-04-28,2024-05-01,83
147,1,2024-05-05,2024-05-08,37
148,1,2024-05-12,2024-05-15,69
149,1,2024-05-19,2024-05-20,76
150,1,2024-05-26,2024-05-27,45
151,1,2024-06-02,2024-06-03,67
152,1,2024-06-09,2024-06-11,43
153,1,2024-06-16,2024-06-17,95
154,2,2023-01-01,2023-01-03,89
155,2,2023-01-08,2023-01-10,46
156,2,2023-01-15,2023-01-17,64
157,2,2023-01-22,2023-01-25,62
158,2,2023-01-29,2023-01-31,97
159,2,2023-02-05,2023-02-07,54
160,2,2023-02-12,2023-02-13,67
161,2,2023-02-19,2023-02-21,94
162,2,2023-02-26,2023-02-27,37
163,2,2023-03-05,2023-03-08,66
164,2,2023-03-12,2023-03-13,32
165,2,2023-03-19,2023-03-21,71
166,2,2023-03-26,2023-03-27,52
167,2,2023-04-02,2023-04-04,97
168,2,2023-04-09,2023-04-11,56
169,2,2023-04-16,2023-04-18,35
170,2,2023-04-23,2023-04-24,87
171,2,2023-04-30,2023-05-01,86
172,2,2023-05-07,2023-05-08,77
173,2,2023-05-14,2023-05-17,81
174,2,2023-05-21,2023-05-23,44
175,2,2023-05-28,2023-05-30,73
176,2,2023-06-04,2023-06-06,27
177,2,2023-06-11,2023-06-14,39
178,2,2023-06-18,2023-06-21,94
179,2,2023-06-25,2023-06-26,80
180,2,2023-07-02,2023-07-04,42
181,2,2023-07-09,2023-07-12,33
182,2,2023-07-16,2023-07-17,96
183,2,2023-07-23,2023-07-25,33
184,2,2023-07-30,2023-07-31,44
185,2,2023-08-06,2023-08-07,38
186,2,2023-08-13,2023-08-15,25
187,2,2023-08-20,2023-08-22,48
188,2,2023-08-27,2023-08-30,98
189,2,2023-09-03,2023-09-06,50
190,2,2023-09-10,2023-09-12,62
191,2,2023-09-17,2023-09-20,80
192,2,2023-09-24,2023-09-27,66
193,2,2023-10-01,2023-10-04,80
194,2,2023-10-08,2023-10-10,74
195,2,2023-10-15,2023-10-17,70
196,2,2023-10-22,2023-10-24,73
197,2,2023-10-29,2023-10-31,84
198,2,2023-11-05,2023-11-07,78
199,2,2023-11-12,2023-11-13,84
200,2,2023-11-19,2023-11-22,35
201,2,2023-11-26,2023-11-28,75
202,2,2023-12-03,2023-12-06,80
203,2,2023-12-10,2023-12-12,47
204,2,2023-12-17,2023-12-20,90
205,2,2023-12-24,2023-12-27,47
206,2,2023-12-31,2024-01-02,43
207,2,2024-01-07,2024-01-10,90
208,2,2024-01-14,2024-01-15,43
209,2,2024-01-21,2024-01-23,56
210,2,2024-01-28,2024-01-30,52
211,2,2024-02-04,2024-02-06,92
212,2,2024-02-11,2024-02-14,59
213,2,2024-02-18,2024-02-21,77
214,2,2024-02-25,2024-02-26,84
215,2,2024-03-03,2024-03-05,72
216,2,2024-03-10,2024-03-12,95
217,2,2024-03-17,2024-03-20,85
218,2,2024-03-24,2024-03-26,55
219,2,2024-03-31,2024-04-02,96
220,2,2024-04-07,2024-04-08,64
221,2,2024-04-14,2024-04-16,26
222,2,2024-04-21,2024-04-23,44
223,2,2024-04-28,2024-04-30,71
224,2,2024-05-05,2024-05-06,36
225,2,2024-05-12,2024-05-14,68
226,2,2024-05-19,2024-05-20,52
227,2,2024-05-26,2024-05-28,65
228,2,2024-06-02,2024-06-04,25
229,2,2024-06-09,2024-06-11,88
230,2,2024-06-16,2024-06-18,52
