node_0,node_1,node_2,training_cost_per_day
79,20,38,118.8524074074074
79,20,64,40.94870370370371
79,20,90,63.09685185185185
79,34,38,120.81537037037037
79,34,64,42.91166666666667
79,34,90,65.05981481481483
79,48,38,134.81537037037037
79,48,64,56.91166666666666
79,48,90,79.05981481481483
131,20,38,74.44296296296297
131,20,64,57.37444444444444
131,20,90,83.37444444444445
131,34,38,76.47814814814815
131,34,64,59.40962962962963
131,34,90,85.40962962962963
131,48,38,90.47814814814815
131,48,64,73.40962962962963
131,48,90,99.40962962962963
183,20,38,90.04296296296296
183,20,64,72.97444444444443
183,20,90,98.97444444444443
183,34,38,92.07814814814814
183,34,64,75.00962962962961
183,34,90,101.00962962962961
183,48,38,106.07814814814814
183,48,64,89.00962962962961
183,48,90,115.00962962962961
