scenario,seed,policy,cost_per_day,holding_per_day,penalty_per_day,fill_rate,shortage_units,backlog_unit_days,demand_units
normal,1001,independent,61.53534246575343,61.469589041095894,0.06575342465753424,0.9997245558463022,2.0,2.0,7261.0
normal,1001,coordinated,41.36219178082192,29.000547945205483,12.361643835616439,0.950695496488087,358.0,376.0,7261.0
normal,1002,independent,60.923287671232885,60.79178082191782,0.13150684931506848,0.9994545950368149,4.0,4.0,7334.0
normal,1002,coordinated,47.82356164383561,28.393424657534247,19.43013698630137,0.9215980365421326,575.0,591.0,7334.0
normal,1003,independent,60.46986301369864,60.43698630136987,0.03287671232876712,0.9998644435407347,1.0,1.0,7377.0
normal,1003,coordinated,41.46493150684932,27.853972602739727,13.610958904109589,0.9448285210790294,407.0,414.0,7377.0
normal,1004,independent,59.75013698630138,59.71726027397261,0.03287671232876712,0.9998654286098776,1.0,1.0,7431.0
normal,1004,coordinated,41.037260273972606,27.196164383561644,13.841095890410958,0.9437491589288117,418.0,421.0,7431.0
normal,1005,independent,59.93780821917808,59.67479452054794,0.26301369863013696,0.9989290495314592,8.0,8.0,7470.0
normal,1005,coordinated,49.41561643835617,26.96082191780822,22.454794520547946,0.9183400267737617,610.0,683.0,7470.0
normal,1006,independent,61.7268493150685,61.56246575342467,0.1643835616438356,0.9993121474755813,5.0,5.0,7269.0
normal,1006,coordinated,44.37315068493151,29.085479452054795,15.287671232876713,0.9368551382583574,459.0,465.0,7269.0
normal,1007,independent,60.28849315068493,60.255616438356164,0.03287671232876712,0.9998649743451256,1.0,1.0,7406.0
normal,1007,coordinated,42.089863013698626,27.492602739726024,14.597260273972603,0.9408587631650014,438.0,444.0,7406.0
normal,1008,independent,61.3041095890411,61.271232876712325,0.03287671232876712,0.9998625618471688,1.0,1.0,7276.0
normal,1008,coordinated,42.94493150684932,29.00520547945206,13.93972602739726,0.9424134139637164,419.0,424.0,7276.0
normal,1009,independent,59.770958904109584,59.770958904109584,0.0,1.0,0.0,0.0,7424.0
normal,1009,coordinated,41.74219178082192,26.84904109589041,14.893150684931507,0.9389816810344828,453.0,453.0,7424.0
normal,1010,independent,57.89671232876713,57.66657534246576,0.23013698630136986,0.999083529719822,7.0,7.0,7638.0
normal,1010,coordinated,54.06082191780822,24.70191780821918,29.35890410958904,0.8953914637339617,799.0,893.0,7638.0
normal,1011,independent,59.73260273972601,59.666849315068475,0.06575342465753424,0.9997316516838857,2.0,2.0,7453.0
normal,1011,coordinated,41.43506849315068,26.476164383561642,14.95890410958904,0.9417684154031933,434.0,455.0,7453.0
normal,1012,independent,58.262465753424664,57.86794520547946,0.39452054794520547,0.9984222981856429,12.0,12.0,7606.0
normal,1012,coordinated,48.55561643835616,24.621369863013697,23.934246575342467,0.9094136208256639,689.0,728.0,7606.0
normal,1013,independent,62.61013698630137,62.61013698630137,0.0,1.0,0.0,0.0,7175.0
normal,1013,coordinated,41.40383561643836,30.981917808219176,10.421917808219177,0.9562369337979094,314.0,317.0,7175.0
normal,1014,independent,61.01287671232876,60.78273972602739,0.23013698630136986,0.9990482664853841,7.0,7.0,7355.0
normal,1014,coordinated,44.37917808219178,28.236712328767123,16.14246575342466,0.9411284840244731,433.0,491.0,7355.0
normal,1015,independent,60.79479452054793,60.663287671232865,0.13150684931506848,0.9994578476551911,4.0,4.0,7378.0
normal,1015,coordinated,41.84602739726027,28.13643835616438,13.70958904109589,0.946462455950122,395.0,417.0,7378.0
normal,1016,independent,61.13589041095891,61.00438356164384,0.13150684931506848,0.9994538503549972,4.0,4.0,7324.0
normal,1016,coordinated,41.97506849315069,28.495616438356162,13.479452054794521,0.94401966138722,410.0,410.0,7324.0
normal,1017,independent,58.25671232876712,58.22383561643836,0.03287671232876712,0.999868073878628,1.0,1.0,7580.0
normal,1017,coordinated,47.407123287671226,25.116712328767125,22.29041095890411,0.9215039577836411,595.0,678.0,7580.0
normal,1018,independent,60.554246575342454,60.42273972602739,0.13150684931506848,0.9994577006507592,4.0,4.0,7376.0
normal,1018,coordinated,46.21369863013699,27.40821917808219,18.805479452054794,0.9269251626898047,539.0,572.0,7376.0
normal,1019,independent,61.19835616438357,61.066849315068495,0.13150684931506848,0.999453327866612,4.0,4.0,7317.0
normal,1019,coordinated,45.140821917808225,28.89972602739726,16.24109589041096,0.9352193521935219,474.0,494.0,7317.0
normal,1020,independent,59.87890410958904,59.87890410958904,0.0,1.0,0.0,0.0,7453.0
normal,1020,coordinated,44.0427397260274,27.045479452054796,16.997260273972604,0.9322420501811352,505.0,517.0,7453.0
demand_spike,1001,independent,75.29534246575342,50.30904109589041,24.986301369863014,0.9225921521997622,651.0,760.0,8410.0
demand_spike,1001,coordinated,181.2353424657534,21.520273972602737,159.71506849315068,0.7076099881093936,2459.0,4858.0,8410.0
demand_spike,1002,independent,96.39123287671234,49.83780821917808,46.553424657534244,0.8909708396767771,931.0,1416.0,8539.0
demand_spike,1002,coordinated,215.08876712328765,22.036712328767123,193.05205479452056,0.6701018854666823,2817.0,5872.0,8539.0
demand_spike,1003,independent,78.2027397260274,48.942465753424656,29.26027397260274,0.9072994402985075,795.0,890.0,8576.0
demand_spike,1003,coordinated,210.86821917808217,21.30109589041096,189.56712328767122,0.675839552238806,2780.0,5766.0,8576.0
demand_spike,1004,independent,91.08520547945206,48.70712328767123,42.37808219178082,0.8880277617119723,968.0,1289.0,8645.0
demand_spike,1004,coordinated,221.58876712328765,21.238082191780823,200.35068493150686,0.6749566223250434,2810.0,6094.0,8645.0
demand_spike,1005,independent,86.05808219178083,48.61150684931507,37.446575342465756,0.9037062694838933,834.0,1139.0,8661.0
demand_spike,1005,coordinated,211.3358904109589,20.289315068493153,191.04657534246576,0.6747488742639418,2817.0,5811.0,8661.0
demand_spike,1006,independent,86.55698630136986,50.68849315068493,35.868493150684934,0.8979881656804733,862.0,1091.0,8450.0
demand_spike,1006,coordinated,199.79013698630135,22.124383561643835,177.66575342465754,0.6860355029585798,2653.0,5404.0,8450.0
demand_spike,1007,independent,81.00054794520547,48.81424657534246,32.18630136986302,0.9090381040892194,783.0,979.0,8608.0
demand_spike,1007,coordinated,205.71890410958903,20.655890410958904,185.06301369863013,0.679135687732342,2762.0,5629.0,8608.0
demand_spike,1008,independent,77.95260273972603,50.336164383561645,27.616438356164384,0.9152622834084975,714.0,840.0,8426.0
demand_spike,1008,coordinated,188.93698630136987,21.791780821917808,167.14520547945204,0.6987894611915499,2538.0,5084.0,8426.0
demand_spike,1009,independent,89.45917808219178,48.955068493150684,40.50410958904109,0.8871866295264624,972.0,1232.0,8616.0
demand_spike,1009,coordinated,208.7082191780822,20.48904109589041,188.21917808219177,0.6867455896007428,2699.0,5725.0,8616.0
demand_spike,1010,independent,85.89205479452055,46.50575342465753,39.38630136986301,0.8955746218107925,925.0,1198.0,8858.0
demand_spike,1010,coordinated,230.09342465753426,18.268767123287674,211.82465753424657,0.6439376834499887,3154.0,6443.0,8858.0
demand_spike,1011,independent,83.24493150684931,48.98739726027398,34.25753424657534,0.9121173320917239,755.0,1042.0,8591.0
demand_spike,1011,coordinated,185.1649315068493,19.63068493150685,165.53424657534248,0.7074845768827843,2513.0,5035.0,8591.0
demand_spike,1012,independent,99.80876712328767,47.00876712328766,52.8,0.8598733318253788,1239.0,1606.0,8842.0
demand_spike,1012,coordinated,243.6049315068493,19.35287671232877,224.25205479452055,0.6448767247229134,3140.0,6821.0,8842.0
demand_spike,1013,independent,74.3854794520548,51.79917808219178,22.586301369863012,0.9296724470134875,584.0,687.0,8304.0
demand_spike,1013,coordinated,173.7668493150685,23.224383561643833,150.54246575342466,0.7150770712909441,2366.0,4579.0,8304.0
demand_spike,1014,independent,83.41397260273972,49.68246575342465,33.73150684931507,0.9122477709995307,748.0,1026.0,8524.0
demand_spike,1014,coordinated,195.88712328767124,21.27890410958904,174.60821917808218,0.7068277803847959,2499.0,5311.0,8524.0
demand_spike,1015,independent,81.4586301369863,49.40383561643835,32.054794520547944,0.9152364273204904,726.0,975.0,8565.0
demand_spike,1015,coordinated,199.45424657534247,21.163835616438355,178.29041095890412,0.6903677758318739,2652.0,5423.0,8565.0
demand_spike,1016,independent,84.86794520547944,50.183013698630134,34.68493150684932,0.902306967984934,830.0,1055.0,8496.0
demand_spike,1016,coordinated,197.90191780821917,21.616986301369863,176.28493150684932,0.6963276836158192,2580.0,5362.0,8496.0
demand_spike,1017,independent,76.60958904109589,46.95479452054794,29.654794520547945,0.9110730593607306,779.0,902.0,8760.0
demand_spike,1017,coordinated,209.6841095890411,18.473150684931507,191.2109589041096,0.667351598173516,2914.0,5816.0,8760.0
demand_spike,1018,independent,102.56273972602739,49.23671232876712,53.326027397260276,0.8572090330052113,1233.0,1622.0,8635.0
demand_spike,1018,coordinated,253.5145205479452,22.654246575342462,230.86027397260273,0.645049218297626,3065.0,7022.0,8635.0
demand_spike,1019,independent,88.01178082191781,50.072054794520554,37.93972602739726,0.9031272043263578,824.0,1154.0,8506.0
demand_spike,1019,coordinated,208.7323287671233,22.354246575342465,186.37808219178083,0.6806959793087233,2716.0,5669.0,8506.0
demand_spike,1020,independent,98.27972602739727,49.227671232876716,49.05205479452055,0.878539234947417,1051.0,1492.0,8653.0
demand_spike,1020,coordinated,213.4958904109589,20.904109589041095,192.5917808219178,0.6836935166994106,2737.0,5858.0,8653.0
supplier_delay,1001,independent,60.42109589041096,37.243013698630136,23.17808219178082,0.9226001928109075,562.0,705.0,7261.0
supplier_delay,1001,coordinated,403.8054794520548,5.405479452054794,398.4,0.4135793967773034,4258.0,12118.0,7261.0
supplier_delay,1002,independent,61.879178082191785,35.97232876712329,25.90684931506849,0.9281428961003545,527.0,788.0,7334.0
supplier_delay,1002,coordinated,428.78356164383564,5.134246575342465,423.64931506849314,0.366103081538042,4649.0,12886.0,7334.0
supplier_delay,1003,independent,51.39123287671233,34.919999999999995,16.471232876712328,0.946048529212417,398.0,501.0,7377.0
supplier_delay,1003,coordinated,434.88493150684934,4.693150684931507,430.1917808219178,0.3676291175274502,4665.0,13085.0,7377.0
supplier_delay,1004,independent,49.85753424657534,33.41917808219178,16.438356164383563,0.9463060153411385,399.0,500.0,7431.0
supplier_delay,1004,coordinated,459.84657534246577,5.095890410958904,454.75068493150684,0.35621046965415154,4784.0,13832.0,7431.0
supplier_delay,1005,independent,68.67041095890411,33.75534246575343,34.915068493150685,0.9104417670682731,669.0,1062.0,7470.0
supplier_delay,1005,coordinated,462.9835616438356,4.353424657534247,458.63013698630135,0.37617135207496655,4660.0,13950.0,7470.0
supplier_delay,1006,independent,59.04684931506849,36.82219178082192,22.224657534246575,0.9365799972485899,461.0,676.0,7269.0
supplier_delay,1006,coordinated,413.0383561643836,5.3342465753424655,407.7041095890411,0.3948273490163709,4399.0,12401.0,7269.0
supplier_delay,1007,independent,50.083561643835615,34.07260273972603,16.01095890410959,0.9481501485282203,384.0,487.0,7406.0
supplier_delay,1007,coordinated,443.2328767123288,4.756164383561644,438.4767123287671,0.3806373210910073,4587.0,13337.0,7406.0
supplier_delay,1008,independent,57.13972602739726,36.62465753424657,20.515068493150686,0.9318306761957119,496.0,624.0,7276.0
