split,scenario,seed,policy,cost_per_day,demand_units,immediate_units,shortage_units,backlog_unit_days,mean_on_hand,fill_rate
validation,normal,1001,independent,435.75594444444437,12743,12715,28,30,554.3055555555555,0.9978027152161971
validation,normal,1001,normal_optimized,317.39844444444446,12743,12168,575,646,246.4611111111111,0.9548771874754768
validation,normal,1001,service_aware,621.8503888888889,12743,12723,20,22,711.2611111111112,0.9984305108687123
validation,normal,1002,independent,435.09816666666666,12743,12721,22,22,550.0722222222223,0.9982735619555835
validation,normal,1002,normal_optimized,315.88227777777774,12743,12207,536,628,242.57222222222222,0.9579376912814879
validation,normal,1002,service_aware,621.2604444444447,12743,12734,9,9,706.9944444444444,0.9992937298909205
validation,normal,1003,independent,433.8711944444444,12743,12717,26,28,549.3055555555555,0.9979596641293259
validation,normal,1003,normal_optimized,323.5886944444445,12743,12131,612,719,242.18333333333334,0.9519736325825944
validation,normal,1003,service_aware,620.221638888889,12743,12726,17,19,706.2666666666667,0.9986659342384054
validation,normal,1004,independent,433.3175000000002,12743,12720,23,23,549.3333333333334,0.9981950874990191
validation,normal,1004,normal_optimized,322.6600277777778,12743,12153,590,710,241.89999999999998,0.9537000706270109
validation,normal,1004,service_aware,620.1403333333333,12743,12727,16,16,706.3222222222222,0.9987444086949698
validation,normal,1005,independent,435.77191666666675,12743,12721,22,22,554.4666666666667,0.9982735619555835
validation,normal,1005,normal_optimized,312.7065833333333,12743,12205,538,589,246.7888888888889,0.9577807423683591
validation,normal,1005,service_aware,622.634972222222,12743,12725,18,18,711.45,0.998587459781841
validation,normal,1006,independent,436.13086111111124,12743,12726,17,19,555.6166666666667,0.9986659342384054
validation,normal,1006,normal_optimized,318.03436111111114,12743,12195,548,638,248.1,0.9569959978027153
validation,normal,1006,service_aware,623.2185277777777,12743,12731,12,14,712.5888888888888,0.9990583065212273
validation,normal,1007,independent,435.4216388888888,12743,12715,28,34,551.55,0.9978027152161971
validation,normal,1007,normal_optimized,326.5665833333333,12743,12091,652,744,244.38888888888889,0.9488346543200188
validation,normal,1007,service_aware,622.0849722222224,12743,12720,23,29,708.5222222222222,0.9981950874990191
validation,normal,1008,independent,438.0108055555556,12743,12699,44,48,554.8944444444445,0.996547123911167
validation,normal,1008,normal_optimized,330.79969444444447,12743,12083,660,760,247.23333333333335,0.9482068586675038
validation,normal,1008,service_aware,621.5477777777777,12743,12728,15,19,711.7277777777778,0.9988228831515342
validation,normal,1009,independent,439.01388888888886,12743,12702,41,41,555.2777777777778,0.9967825472808601
validation,normal,1009,normal_optimized,328.3026111111111,12743,12103,640,713,248.35,0.9497763477987915
validation,normal,1009,service_aware,623.693,12743,12721,22,22,712.1611111111112,0.9982735619555835
validation,normal,1010,independent,435.1622499999999,12743,12699,44,49,551.5666666666666,0.996547123911167
validation,normal,1010,normal_optimized,324.30627777777784,12743,12106,637,738,244.24444444444444,0.9500117711684847
validation,normal,1010,service_aware,619.5628055555555,12743,12720,23,28,708.4499999999999,0.9981950874990191
validation,normal,1011,independent,435.3001944444445,12743,12711,32,35,554.8555555555556,0.9974888173899396
validation,normal,1011,normal_optimized,322.08122222222215,12743,12138,605,680,246.8222222222222,0.9525229537785451
validation,normal,1011,service_aware,620.8168611111112,12743,12723,20,23,711.8,0.9984305108687123
validation,normal,1012,independent,433.57277777777784,12743,12726,17,17,551.7333333333333,0.9986659342384054
validation,normal,1012,normal_optimized,337.1911944444445,12743,12081,662,805,245.05555555555557,0.948049909754375
validation,normal,1012,service_aware,619.4677777777777,12743,12739,4,4,708.661111111111,0.9996861021737424
validation,demand_spike,1001,independent,486.05441666666667,14909,14197,712,875,490.56666666666666,0.952243611241532
validation,demand_spike,1001,normal_optimized,795.4426111111111,14909,11822,3087,5223,203.77777777777777,0.7929438594137769
validation,demand_spike,1001,service_aware,593.4986666666666,14909,14694,215,260,644.0055555555556,0.9855791803608559
validation,demand_spike,1002,independent,461.2509166666666,14909,14364,545,673,488.75,0.9634448990542626
validation,demand_spike,1002,normal_optimized,712.1771666666666,14909,12040,2869,4737,197.98333333333335,0.8075658997920719
validation,demand_spike,1002,service_aware,590.6576944444446,14909,14730,179,197,643.0222222222222,0.987993829230666
validation,demand_spike,1003,independent,479.75655555555556,14909,14204,705,889,486.19444444444446,0.9527131262995506
validation,demand_spike,1003,normal_optimized,754.65475,14909,11775,3134,5033,199.10555555555555,0.7897914011670802
validation,demand_spike,1003,service_aware,583.9323333333334,14909,14742,167,196,639.4222222222222,0.9887987121872694
validation,demand_spike,1004,independent,471.89552777777794,14909,14265,644,801,487.76666666666665,0.9568046146622845
validation,demand_spike,1004,normal_optimized,742.2775555555555,14909,11979,2930,4945,199.0388888888889,0.803474411429338
validation,demand_spike,1004,service_aware,581.8106111111111,14909,14786,123,148,641.3,0.9917499496948152
validation,demand_spike,1005,independent,471.5038888888891,14909,14268,641,743,494.3666666666667,0.9570058354014354
validation,demand_spike,1005,normal_optimized,671.4914166666666,14909,12203,2706,4298,204.1222222222222,0.8184988932859347
validation,demand_spike,1005,service_aware,590.620888888889,14909,14725,184,193,648.3888888888889,0.9876584613320812
validation,demand_spike,1006,independent,458.5426111111111,14909,14362,547,668,494.6666666666667,0.9633107518948286
validation,demand_spike,1006,normal_optimized,694.5303611111111,14909,12122,2787,4464,204.4777777777778,0.8130659333288618
validation,demand_spike,1006,service_aware,588.469111111111,14909,14766,143,168,648.9388888888889,0.9904084781004763
validation,demand_spike,1007,independent,482.5370833333334,14909,14233,676,863,489.7055555555556,0.9546582601113421
validation,demand_spike,1007,normal_optimized,754.8656111111112,14909,11937,2972,5124,202.00555555555556,0.8006573210812261
validation,demand_spike,1007,service_aware,594.0768888888888,14909,14701,208,265,643.2444444444445,0.9860486954188745
validation,demand_spike,1008,independent,472.94647222222227,14909,14269,640,778,493.2055555555556,0.9570729089811523
validation,demand_spike,1008,normal_optimized,686.3999444444445,14909,12190,2719,4485,202.9388888888889,0.8176269367496143
validation,demand_spike,1008,service_aware,589.8719444444444,14909,14744,165,207,646.8611111111111,0.9889328593467034
validation,demand_spike,1009,independent,461.66111111111104,14909,14357,552,670,492.6055555555555,0.9629753839962438
validation,demand_spike,1009,normal_optimized,751.3291944444444,14909,11906,3003,5085,205.70000000000002,0.7985780401100007
validation,demand_spike,1009,service_aware,585.8206944444445,14909,14775,134,154,646.6666666666667,0.9910121403179287
validation,demand_spike,1010,independent,489.38911111111105,14909,14190,719,980,489.6666666666667,0.9517740961835133
validation,demand_spike,1010,normal_optimized,803.5113333333334,14909,11766,3143,5568,201.14444444444445,0.7891877389496278
validation,demand_spike,1010,service_aware,592.9837222222222,14909,14694,215,272,642.6444444444444,0.9855791803608559
validation,demand_spike,1011,independent,469.45702777777797,14909,14272,637,745,492.0111111111112,0.9572741297203031
validation,demand_spike,1011,normal_optimized,763.2467777777778,14909,11915,2994,5030,203.91666666666666,0.7991817023274532
validation,demand_spike,1011,service_aware,582.2075555555558,14909,14767,142,161,645.65,0.9904755516801932
validation,demand_spike,1012,independent,485.3108333333333,14909,14178,731,952,489.6166666666667,0.95096921322691
validation,demand_spike,1012,normal_optimized,748.3409444444445,14909,12105,2804,5027,202.51111111111112,0.8119256824736736
validation,demand_spike,1012,service_aware,595.7705833333334,14909,14632,277,304,643.1833333333334,0.981420618418405
validation,supplier_delay,1001,independent,320.17069444444456,12743,12546,197,246,268.7055555555555,0.9845405320568155
validation,supplier_delay,1001,normal_optimized,1722.8150833333334,12743,5800,6943,14793,37.03888888888889,0.4551518480734521
validation,supplier_delay,1001,service_aware,479.0061388888889,12743,12715,28,30,424.2611111111111,0.9978027152161971
validation,supplier_delay,1002,independent,352.01413888888897,12743,12416,327,486,265.65555555555557,0.974338852703445
validation,supplier_delay,1002,normal_optimized,1806.062138888889,12743,5574,7169,15566,36.75,0.43741662088990035
validation,supplier_delay,1002,service_aware,481.4640555555555,12743,12714,29,39,420.3611111111111,0.9977242407596327
validation,supplier_delay,1003,independent,326.925,12743,12474,269,367,266.5222222222222,0.9788903711841795
validation,supplier_delay,1003,normal_optimized,1742.9498055555555,12743,5582,7161,15157,36.18333333333333,0.43804441654241544
validation,supplier_delay,1003,service_aware,479.8948055555554,12743,12715,28,35,421.3888888888889,0.9978027152161971
validation,supplier_delay,1004,independent,332.7380277777778,12743,12471,272,404,263.94444444444446,0.9786549478144864
validation,supplier_delay,1004,normal_optimized,1806.3999722222222,12743,5549,7194,15715,34.455555555555556,0.43545475947579065
validation,supplier_delay,1004,service_aware,477.54999999999995,12743,12716,27,27,419.1333333333333,0.9978811896727615
validation,supplier_delay,1005,independent,329.1699999999999,12743,12528,215,279,272.65555555555557,0.9831279918386565
validation,supplier_delay,1005,normal_optimized,1625.9462222222223,12743,5927,6816,14120,38.99444444444445,0.4651181040571294
validation,supplier_delay,1005,service_aware,487.28833333333347,12743,12716,27,28,428.5111111111111,0.9978811896727615
validation,supplier_delay,1006,independent,319.52130555555556,12743,12570,173,235,272.8388888888889,0.9864239190143608
validation,supplier_delay,1006,normal_optimized,1641.3829999999998,12743,5979,6764,14179,38.733333333333334,0.4691987757984776
validation,supplier_delay,1006,service_aware,484.1861944444445,12743,12730,13,15,428.8,0.9989798320646629
validation,supplier_delay,1007,independent,344.81972222222225,12743,12417,326,447,268.1166666666667,0.9744173271600094
validation,supplier_delay,1007,normal_optimized,1719.0281388888889,12743,5786,6957,14888,37.544444444444444,0.45405320568155066
validation,supplier_delay,1007,service_aware,480.8671666666666,12743,12703,40,46,422.98333333333335,0.9968610217374244
validation,supplier_delay,1008,independent,332.9619166666667,12743,12514,229,322,271.6777777777778,0.9820293494467551
validation,supplier_delay,1008,normal_optimized,1644.5100000000002,12743,5932,6811,14278,38.37222222222222,0.46551047633995135
validation,supplier_delay,1008,service_aware,483.70416666666654,12743,12727,16,20,426.74444444444447,0.9987444086949698
validation,supplier_delay,1009,independent,333.63575,12743,12518,225,317,271.6222222222222,0.9823432472730126
validation,supplier_delay,1009,normal_optimized,1661.6471666666666,12743,5874,6869,14345,39.43333333333334,0.4609589578592168
validation,supplier_delay,1009,service_aware,486.5190555555554,12743,12711,32,39,426.93888888888887,0.9974888173899396
validation,supplier_delay,1010,independent,336.61863888888894,12743,12443,300,424,268.0722222222222,0.9764576630306835
validation,supplier_delay,1010,normal_optimized,1736.3120277777778,12743,5664,7079,15195,36.82222222222222,0.4444793219806953
validation,supplier_delay,1010,service_aware,479.3589999999999,12743,12714,29,38,423.3833333333333,0.9977242407596327
validation,supplier_delay,1011,independent,329.5247222222222,12743,12512,231,303,271.53333333333336,0.9818724005336263
validation,supplier_delay,1011,normal_optimized,1659.41175,12743,5776,6967,14288,36.15,0.4532684611159068
validation,supplier_delay,1011,service_aware,482.8356944444443,12743,12720,23,26,427.1166666666667,0.9981950874990191
validation,supplier_delay,1012,independent,351.41399999999993,12743,12380,363,471,269.8,0.9715137722671271
validation,supplier_delay,1012,normal_optimized,1696.302888888889,12743,6143,6600,14526,37.33333333333333,0.48206858667503727
validation,supplier_delay,1012,service_aware,482.3556111111111,12743,12708,35,35,424.56111111111113,0.9972533940202464
validation,combined_stress,1001,independent,1464.4425555555556,14909,10810,4099,10186,206.80555555555554,0.7250653967402241
validation,combined_stress,1001,normal_optimized,4036.7470000000003,14909,4479,10430,34184,27.544444444444444,0.3004225635522168
validation,combined_stress,1001,service_aware,1025.489361111111,14909,12256,2653,5291,336.2166666666667,0.822053793010933
validation,combined_stress,1002,independent,1349.3070277777776,14909,10844,4065,9405,201.7888888888889,0.7273458984506003
validation,combined_stress,1002,normal_optimized,3966.9219722222224,14909,4148,10761,33952,26.738888888888887,0.2782212086659065
validation,combined_stress,1002,service_aware,932.5095555555556,14909,12461,2448,4653,332.19444444444446,0.8358038768529077
validation,combined_stress,1003,independent,1421.17675,14909,10768,4141,10054,203.62777777777777,0.7222483063921121
validation,combined_stress,1003,normal_optimized,3998.0271666666667,14909,4317,10592,34252,27.077777777777776,0.289556643638071
validation,combined_stress,1003,service_aware,985.1909166666667,14909,12314,2595,5118,333.15,0.8259440606345161
validation,combined_stress,1004,independent,1427.3593888888888,14909,10872,4037,10032,201.11666666666667,0.7292239586826749
validation,combined_stress,1004,normal_optimized,4017.3208055555556,14909,4258,10651,34473,24.194444444444443,0.28559930243477094
validation,combined_stress,1004,service_aware,1004.1494444444444,14909,12343,2566,5218,331.7111111111111,0.8278891944463076
