receipt_id,node_id,sku,dispatch_date,receipt_date,quantity
0,0,SKU-001,2023-01-01,2023-01-07,50
1,0,SKU-001,2023-01-11,2023-01-13,75
2,0,SKU-001,2023-01-21,2023-01-23,75
3,0,SKU-001,2023-01-31,2023-02-02,87
4,0,SKU-001,2023-02-10,2023-02-12,58
5,0,SKU-001,2023-02-20,2023-02-24,86
6,0,SKU-001,2023-03-02,2023-03-08,47
7,0,SKU-001,2023-03-12,2023-03-18,62
8,0,SKU-001,2023-03-22,2023-03-25,73
9,0,SKU-001,2023-04-01,2023-04-07,71
10,0,SKU-001,2023-04-11,2023-04-14,33
11,0,SKU-001,2023-04-21,2023-04-27,54
12,0,SKU-001,2023-05-01,2023-05-07,52
13,0,SKU-001,2023-05-11,2023-05-13,97
14,0,SKU-001,2023-05-21,2023-05-23,97
15,0,SKU-001,2023-05-31,2023-06-02,55
16,0,SKU-001,2023-06-10,2023-06-12,85
17,0,SKU-001,2023-06-20,2023-06-22,68
18,0,SKU-001,2023-06-30,2023-07-06,57
19,0,SKU-001,2023-07-10,2023-07-12,84
20,0,SKU-001,2023-07-20,2023-07-24,96
21,0,SKU-001,2023-07-30,2023-08-02,55
22,0,SKU-001,2023-08-09,2023-08-12,41
23,0,SKU-001,2023-08-19,2023-08-23,96
24,0,SKU-001,2023-08-29,2023-09-02,79
25,0,SKU-001,2023-09-08,2023-09-12,45
26,0,SKU-001,2023-09-18,2023-09-24,30
27,0,SKU-001,2023-09-28,2023-10-01,76
28,0,SKU-001,2023-10-08,2023-10-10,73
29,0,SKU-001,2023-10-18,2023-10-20,45
30,0,SKU-001,2023-10-28,2023-11-03,74
31,0,SKU-001,2023-11-07,2023-11-13,40
32,0,SKU-001,2023-11-17,2023-11-23,58
33,0,SKU-001,2023-11-27,2023-12-03,51
34,0,SKU-001,2023-12-07,2023-12-13,90
35,0,SKU-001,2023-12-17,2023-12-21,50
36,0,SKU-001,2023-12-27,2024-01-02,49
37,0,SKU-001,2024-01-06,2024-01-08,82
38,0,SKU-001,2024-01-16,2024-01-18,31
39,0,SKU-001,2024-01-26,2024-01-28,80
40,0,SKU-001,2024-02-05,2024-02-07,33
41,0,SKU-001,2024-02-15,2024-02-21,33
42,0,SKU-001,2024-02-25,2024-02-29,64
43,0,SKU-001,2024-03-06,2024-03-09,97
44,0,SKU-001,2024-03-16,2024-03-19,41
45,0,SKU-001,2024-03-26,2024-03-29,51
46,0,SKU-001,2024-04-05,2024-04-11,77
47,0,SKU-001,2024-04-15,2024-04-17,92
48,0,SKU-001,2024-04-25,2024-05-01,64
49,0,SKU-001,2024-05-05,2024-05-08,64
50,0,SKU-001,2024-05-15,2024-05-19,51
51,0,SKU-001,2024-05-25,2024-05-28,56
52,0,SKU-001,2024-06-04,2024-06-10,39
53,0,SKU-001,2024-06-14,2024-06-16,38
54,0,SKU-001,2024-06-24,2024-06-26,81
55,0,SKU-001,2024-07-04,2024-07-07,63
56,0,SKU-001,2024-07-14,2024-07-20,84
57,0,SKU-001,2024-07-24,2024-07-30,75
58,0,SKU-001,2024-08-03,2024-08-09,30
59,0,SKU-001,2024-08-13,2024-08-16,65
60,0,SKU-001,2024-08-23,2024-08-29,68
61,0,SKU-001,2024-09-02,2024-09-06,39
62,0,SKU-001,2024-09-12,2024-09-18,96
63,0,SKU-001,2024-09-22,2024-09-25,85
64,0,SKU-001,2024-10-02,2024-10-04,92
65,0,SKU-001,2024-10-12,2024-10-16,71
66,0,SKU-001,2024-10-22,2024-10-26,88
67,0,SKU-001,2024-11-01,2024-11-04,42
68,0,SKU-001,2024-11-11,2024-11-15,89
69,0,SKU-001,2024-11-21,2024-11-27,94
70,0,SKU-001,2024-12-01,2024-12-03,31
71,0,SKU-001,2024-12-11,2024-12-13,74
72,0,SKU-001,2024-12-21,2024-12-24,36
73,0,SKU-001,2024-12-31,2025-01-03,75
74,0,SKU-001,2025-01-10,2025-01-12,92
75,0,SKU-001,2025-01-20,2025-01-23,42
76,0,SKU-001,2025-01-30,2025-02-02,64
77,0,SKU-001,2025-02-09,2025-02-15,36
78,0,SKU-001,2025-02-19,2025-02-22,75
79,0,SKU-001,2025-03-01,2025-03-07,38
80,0,SKU-001,2025-03-11,2025-03-13,98
81,0,SKU-001,2025-03-21,2025-03-27,52
82,0,SKU-001,2025-03-31,2025-04-03,42
83,0,SKU-001,2025-04-10,2025-04-16,96
84,0,SKU-001,2025-04-20,2025-04-24,75
85,0,SKU-001,2025-04-30,2025-05-04,64
86,0,SKU-001,2025-05-10,2025-05-13,82
87,0,SKU-001,2025-05-20,2025-05-23,90
88,0,SKU-001,2025-05-30,2025-06-02,86
89,0,SKU-002,2023-01-01,2023-01-04,54
90,0,SKU-002,2023-01-11,2023-01-13,57
91,0,SKU-002,2023-01-21,2023-01-25,66
92,0,SKU-002,2023-01-31,2023-02-04,71
93,0,SKU-002,2023-02-10,2023-02-13,51
94,0,SKU-002,2023-02-20,2023-02-22,39
95,0,SKU-002,2023-03-02,2023-03-06,60
96,0,SKU-002,2023-03-12,2023-03-14,87
97,0,SKU-002,2023-03-22,2023-03-25,49
98,0,SKU-002,2023-04-01,2023-04-04,56
99,0,SKU-002,2023-04-11,2023-04-14,49
100,0,SKU-002,2023-04-21,2023-04-23,72
101,0,SKU-002,2023-05-01,2023-05-05,96
102,0,SKU-002,2023-05-11,2023-05-13,42
103,0,SKU-002,2023-05-21,2023-05-24,84
104,0,SKU-002,2023-05-31,2023-06-04,76
105,0,SKU-002,2023-06-10,2023-06-14,99
106,0,SKU-002,2023-06-20,2023-06-23,36
107,0,SKU-002,2023-06-30,2023-07-03,93
