sku,candidate,warehouse_multiplier,store_multiplier,normal_cost,stress_mean_cost,worst_store_scenario_fill,feasible
SKU-001,0,0.6,0.6,137.49725,585.8620000000001,0.23458646616541354,False
SKU-001,1,0.6,1.0,150.60699999999997,282.25475,0.6005012531328321,False
SKU-001,2,0.6,1.4,228.53724999999997,223.21275,0.8827067669172932,False
SKU-001,3,0.6,1.8,309.33725000000004,271.02983333333333,0.9414261460101867,False
SKU-001,4,0.6,2.4,432.78724999999986,382.1909166666666,0.9864176570458404,True
SKU-001,5,0.6,3.2,596.63725,544.0354166666667,1.0,True
SKU-001,6,1.0,0.6,166.33100000000002,213.71358333333333,0.7780135823429541,False
SKU-001,7,1.0,1.0,194.32625,184.26358333333334,0.9333616298811545,False
SKU-001,8,1.0,1.4,274.5485,251.8616666666666,0.9719864176570459,True
SKU-001,9,1.0,1.8,355.34849999999994,329.507,0.990657843518879,True
SKU-001,10,1.0,2.4,478.7985000000001,451.5543333333333,1.0,True
SKU-001,11,1.0,3.2,642.6484999999999,615.4043333333333,1.0,True
SKU-001,12,1.4,0.6,210.88100000000003,225.73908333333338,0.816213921901528,False
SKU-001,13,1.4,1.0,238.87624999999997,222.15224999999998,0.9392759828727131,False
SKU-001,14,1.4,1.4,319.09850000000006,296.99808333333334,0.9735305566368236,True
SKU-001,15,1.4,1.8,399.8984999999997,376.1714166666665,0.990657843518879,True
SKU-001,16,1.4,2.4,523.3485000000001,498.85541666666677,1.0,True
SKU-001,17,1.4,3.2,687.1985000000001,662.7054166666667,1.0,True
SKU-001,18,1.8,0.6,255.13099999999997,268.93125000000003,0.816213921901528,False
SKU-001,19,1.8,1.0,283.12625,266.48575,0.9392759828727131,False
SKU-001,20,1.8,1.4,363.3485,341.36341666666664,0.9735305566368236,True
SKU-001,21,1.8,1.8,444.14849999999973,420.5367499999998,0.990657843518879,True
SKU-001,22,1.8,2.4,567.5985000000002,543.2207500000001,1.0,True
SKU-001,23,1.8,3.2,731.4485,707.0707499999999,1.0,True
SKU-001,24,2.4,0.6,321.481,335.28125,0.816213921901528,False
SKU-001,25,2.4,1.0,349.4762499999998,332.83574999999996,0.9392759828727131,False
SKU-001,26,2.4,1.4,429.6985000000001,407.7134166666667,0.9735305566368236,True
SKU-001,27,2.4,1.8,510.49850000000004,486.88675000000006,0.990657843518879,True
SKU-001,28,2.4,2.4,633.9485000000001,609.57075,1.0,True
SKU-001,29,2.4,3.2,797.7985000000001,773.4207500000001,1.0,True
SKU-001,30,3.2,0.6,409.98099999999994,423.78124999999994,0.816213921901528,False
SKU-001,31,3.2,1.0,437.9762499999998,421.3357499999999,0.9392759828727131,False
SKU-001,32,3.2,1.4,518.1985000000001,496.21341666666666,0.9735305566368236,True
SKU-001,33,3.2,1.8,598.9984999999999,575.38675,0.990657843518879,True
SKU-001,34,3.2,2.4,722.4485,698.0707499999999,1.0,True
SKU-001,35,3.2,3.2,886.2985000000001,861.9207500000002,1.0,True
SKU-002,0,0.6,0.6,166.08350000000002,654.826,0.23157894736842105,False
SKU-002,1,0.6,1.0,162.96049999999997,327.7076666666667,0.5993091537132987,False
SKU-002,2,0.6,1.4,252.63599999999997,247.37249999999995,0.9119170984455959,False
SKU-002,3,0.6,1.8,346.43600000000004,297.1761666666667,0.9538239538239538,True
SKU-002,4,0.6,2.4,485.23599999999993,426.1228333333333,0.9848484848484849,True
SKU-002,5,0.6,3.2,670.8359999999999,610.5223333333332,1.0,True
SKU-002,6,1.0,0.6,184.6295,248.99533333333338,0.7706146926536732,False
SKU-002,7,1.0,1.0,207.00850000000008,200.14183333333335,0.9141414141414141,False
SKU-002,8,1.0,1.4,301.9840000000001,274.45500000000004,0.9668109668109668,True
SKU-002,9,1.0,1.8,395.7839999999999,364.32433333333324,0.9906204906204906,True
SKU-002,10,1.0,2.4,534.584,502.32416666666677,1.0,True
SKU-002,11,1.0,3.2,720.184,687.9241666666667,1.0,True
SKU-002,12,1.4,0.6,231.12950000000004,253.36200000000005,0.775112443778111,False
SKU-002,13,1.4,1.0,253.50850000000008,241.7968333333334,0.922077922077922,False
SKU-002,14,1.4,1.4,348.48400000000015,324.4646666666667,0.9783549783549783,True
SKU-002,15,1.4,1.8,442.2839999999999,414.6739999999999,0.9992503748125937,True
SKU-002,16,1.4,2.4,581.0840000000001,553.417,1.0,True
SKU-002,17,1.4,3.2,766.6840000000002,739.0170000000002,1.0,True
SKU-002,18,1.8,0.6,277.62949999999995,295.66349999999994,0.775112443778111,False
SKU-002,19,1.8,1.0,300.0085000000001,286.1465,0.9365079365079365,False
SKU-002,20,1.8,1.4,394.98400000000004,370.06850000000003,0.9906204906204906,True
SKU-002,21,1.8,1.8,488.7839999999999,461.4783333333333,0.9992503748125937,True
SKU-002,22,1.8,2.4,627.584,600.2213333333333,1.0,True
SKU-002,23,1.8,3.2,813.1840000000001,785.8213333333334,1.0,True
SKU-002,24,2.4,0.6,347.0294999999999,365.0634999999999,0.775112443778111,False
SKU-002,25,2.4,1.0,369.4085,355.5465,0.9365079365079365,False
SKU-002,26,2.4,1.4,464.384,439.4685,0.9906204906204906,True
SKU-002,27,2.4,1.8,558.184,530.8783333333332,0.9992503748125937,True
SKU-002,28,2.4,2.4,696.9839999999999,669.6213333333334,1.0,True
SKU-002,29,2.4,3.2,882.584,855.2213333333334,1.0,True
SKU-002,30,3.2,0.6,440.0294999999999,458.0634999999999,0.775112443778111,False
SKU-002,31,3.2,1.0,462.4085,448.5465,0.9365079365079365,False
SKU-002,32,3.2,1.4,557.384,532.4685000000001,0.9906204906204906,True
SKU-002,33,3.2,1.8,651.184,623.8783333333332,0.9992503748125937,True
SKU-002,34,3.2,2.4,789.9839999999997,762.6213333333332,1.0,True
SKU-002,35,3.2,3.2,975.5840000000001,948.2213333333333,1.0,True
SKU-003,0,0.6,0.6,27.360025,98.55956666666667,0.2577696526508227,False
SKU-003,1,0.6,1.0,25.644549999999995,52.445391666666666,0.571753986332574,False
SKU-003,2,0.6,1.4,39.342974999999996,39.55190833333333,0.8427787934186471,False
SKU-003,3,0.6,1.8,52.04797500000001,44.749316666666665,0.9579524680073126,True
SKU-003,4,0.6,2.4,72.90797499999996,63.84256666666666,1.0,True
SKU-003,5,0.6,3.2,99.717975,90.65256666666669,1.0,True
SKU-003,6,1.0,0.6,30.11565,38.91980833333333,0.7751371115173674,False
SKU-003,7,1.0,1.0,33.06,31.682216666666665,0.9395248380129589,False
SKU-003,8,1.0,1.4,47.20554999999999,42.49106666666666,0.9870410367170627,True
SKU-003,9,1.0,1.8,59.91055,54.941250000000004,1.0,True
SKU-003,10,1.0,2.4,80.77055000000001,75.80125000000001,1.0,True
SKU-003,11,1.0,3.2,107.58055000000003,102.61125000000003,1.0,True
SKU-003,12,1.4,0.6,37.67565,39.10451666666666,0.8142414860681114,False
SKU-003,13,1.4,1.0,40.620000000000005,38.1588,0.9524838012958964,True
SKU-003,14,1.4,1.4,54.76555000000001,50.838891666666676,0.9935205183585313,True
SKU-003,15,1.4,1.8,67.47054999999999,63.37385833333332,1.0,True
SKU-003,16,1.4,2.4,88.33055000000002,84.23385833333333,1.0,True
SKU-003,17,1.4,3.2,115.14054999999999,111.04385833333333,1.0,True
SKU-003,18,1.8,0.6,44.99065,46.42791666666667,0.8142414860681114,False
SKU-003,19,1.8,1.0,47.935,45.4822,0.9524838012958964,True
SKU-003,20,1.8,1.4,62.080549999999995,58.162291666666654,0.9935205183585313,True
SKU-003,21,1.8,1.8,74.78555,70.69725833333332,1.0,True
SKU-003,22,1.8,2.4,95.64555000000001,91.55725833333334,1.0,True
SKU-003,23,1.8,3.2,122.45555000000004,118.36725833333337,1.0,True
SKU-003,24,2.4,0.6,55.98065,57.417916666666656,0.8142414860681114,False
SKU-003,25,2.4,1.0,58.92499999999999,56.47219999999999,0.9524838012958964,True
SKU-003,26,2.4,1.4,73.07055,69.15229166666667,0.9935205183585313,True
SKU-003,27,2.4,1.8,85.77555000000001,81.68725833333333,1.0,True
SKU-003,28,2.4,2.4,106.63555,102.54725833333335,1.0,True
SKU-003,29,2.4,3.2,133.44554999999997,129.3572583333333,1.0,True
SKU-003,30,3.2,0.6,70.61064999999999,72.04791666666667,0.8142414860681114,False
SKU-003,31,3.2,1.0,73.55499999999998,71.10219999999998,0.9524838012958964,True
SKU-003,32,3.2,1.4,87.70055,83.78229166666667,0.9935205183585313,True
SKU-003,33,3.2,1.8,100.40555,96.31725833333333,1.0,True
SKU-003,34,3.2,2.4,121.26554999999999,117.17725833333331,1.0,True
SKU-003,35,3.2,3.2,148.07554999999996,143.9872583333333,1.0,True
