split,scenario,seed,sku,policy,node_id,immediate_units,demand_units,fill_rate
validation,normal,1001,SKU-001,independent,2,1565,1565,1.0
validation,normal,1001,SKU-001,independent,3,1792,1792,1.0
validation,normal,1001,SKU-001,independent,4,1789,1789,1.0
validation,normal,1001,SKU-001,independent,5,1898,1898,1.0
validation,normal,1001,SKU-001,normal_optimized,2,1434,1565,0.91629392971246
validation,normal,1001,SKU-001,normal_optimized,3,1682,1792,0.9386160714285714
validation,normal,1001,SKU-001,normal_optimized,4,1654,1789,0.9245388485187256
validation,normal,1001,SKU-001,normal_optimized,5,1751,1898,0.9225500526870389
validation,normal,1001,SKU-001,service_aware,2,1565,1565,1.0
validation,normal,1001,SKU-001,service_aware,3,1792,1792,1.0
validation,normal,1001,SKU-001,service_aware,4,1789,1789,1.0
validation,normal,1001,SKU-001,service_aware,5,1898,1898,1.0
validation,normal,1002,SKU-001,independent,2,1565,1565,1.0
validation,normal,1002,SKU-001,independent,3,1792,1792,1.0
validation,normal,1002,SKU-001,independent,4,1783,1789,0.9966461710452766
validation,normal,1002,SKU-001,independent,5,1892,1898,0.9968387776606955
validation,normal,1002,SKU-001,normal_optimized,2,1456,1565,0.9303514376996805
validation,normal,1002,SKU-001,normal_optimized,3,1719,1792,0.9592633928571429
validation,normal,1002,SKU-001,normal_optimized,4,1641,1789,0.917272219116825
validation,normal,1002,SKU-001,normal_optimized,5,1741,1898,0.9172813487881981
validation,normal,1002,SKU-001,service_aware,2,1565,1565,1.0
validation,normal,1002,SKU-001,service_aware,3,1792,1792,1.0
validation,normal,1002,SKU-001,service_aware,4,1789,1789,1.0
validation,normal,1002,SKU-001,service_aware,5,1898,1898,1.0
validation,normal,1003,SKU-001,independent,2,1565,1565,1.0
validation,normal,1003,SKU-001,independent,3,1792,1792,1.0
validation,normal,1003,SKU-001,independent,4,1784,1789,0.9972051425377306
validation,normal,1003,SKU-001,independent,5,1898,1898,1.0
validation,normal,1003,SKU-001,normal_optimized,2,1410,1565,0.9009584664536742
validation,normal,1003,SKU-001,normal_optimized,3,1701,1792,0.94921875
validation,normal,1003,SKU-001,normal_optimized,4,1622,1789,0.9066517607602013
validation,normal,1003,SKU-001,normal_optimized,5,1783,1898,0.9394099051633298
validation,normal,1003,SKU-001,service_aware,2,1565,1565,1.0
validation,normal,1003,SKU-001,service_aware,3,1792,1792,1.0
validation,normal,1003,SKU-001,service_aware,4,1789,1789,1.0
validation,normal,1003,SKU-001,service_aware,5,1898,1898,1.0
validation,normal,1004,SKU-001,independent,2,1565,1565,1.0
validation,normal,1004,SKU-001,independent,3,1792,1792,1.0
validation,normal,1004,SKU-001,independent,4,1789,1789,1.0
validation,normal,1004,SKU-001,independent,5,1892,1898,0.9968387776606955
validation,normal,1004,SKU-001,normal_optimized,2,1416,1565,0.9047923322683706
validation,normal,1004,SKU-001,normal_optimized,3,1658,1792,0.9252232142857143
validation,normal,1004,SKU-001,normal_optimized,4,1678,1789,0.9379541643376188
validation,normal,1004,SKU-001,normal_optimized,5,1760,1898,0.9272918861959958
validation,normal,1004,SKU-001,service_aware,2,1565,1565,1.0
validation,normal,1004,SKU-001,service_aware,3,1792,1792,1.0
validation,normal,1004,SKU-001,service_aware,4,1789,1789,1.0
validation,normal,1004,SKU-001,service_aware,5,1898,1898,1.0
validation,normal,1005,SKU-001,independent,2,1565,1565,1.0
validation,normal,1005,SKU-001,independent,3,1792,1792,1.0
validation,normal,1005,SKU-001,independent,4,1789,1789,1.0
validation,normal,1005,SKU-001,independent,5,1898,1898,1.0
validation,normal,1005,SKU-001,normal_optimized,2,1440,1565,0.9201277955271565
validation,normal,1005,SKU-001,normal_optimized,3,1662,1792,0.9274553571428571
validation,normal,1005,SKU-001,normal_optimized,4,1671,1789,0.9340413638904416
validation,normal,1005,SKU-001,normal_optimized,5,1782,1898,0.9388830347734457
validation,normal,1005,SKU-001,service_aware,2,1565,1565,1.0
validation,normal,1005,SKU-001,service_aware,3,1792,1792,1.0
validation,normal,1005,SKU-001,service_aware,4,1789,1789,1.0
validation,normal,1005,SKU-001,service_aware,5,1898,1898,1.0
validation,normal,1006,SKU-001,independent,2,1565,1565,1.0
validation,normal,1006,SKU-001,independent,3,1792,1792,1.0
validation,normal,1006,SKU-001,independent,4,1784,1789,0.9972051425377306
validation,normal,1006,SKU-001,independent,5,1898,1898,1.0
validation,normal,1006,SKU-001,normal_optimized,2,1471,1565,0.9399361022364218
validation,normal,1006,SKU-001,normal_optimized,3,1621,1792,0.9045758928571429
validation,normal,1006,SKU-001,normal_optimized,4,1628,1789,0.9100055897149245
validation,normal,1006,SKU-001,normal_optimized,5,1814,1898,0.9557428872497366
validation,normal,1006,SKU-001,service_aware,2,1565,1565,1.0
validation,normal,1006,SKU-001,service_aware,3,1792,1792,1.0
validation,normal,1006,SKU-001,service_aware,4,1789,1789,1.0
validation,normal,1006,SKU-001,service_aware,5,1898,1898,1.0
validation,normal,1007,SKU-001,independent,2,1565,1565,1.0
validation,normal,1007,SKU-001,independent,3,1792,1792,1.0
validation,normal,1007,SKU-001,independent,4,1789,1789,1.0
validation,normal,1007,SKU-001,independent,5,1898,1898,1.0
validation,normal,1007,SKU-001,normal_optimized,2,1416,1565,0.9047923322683706
validation,normal,1007,SKU-001,normal_optimized,3,1696,1792,0.9464285714285714
validation,normal,1007,SKU-001,normal_optimized,4,1612,1789,0.9010620458356624
