sku,policy,node_id,target_units
SKU-001,independent,0,168
SKU-001,independent,1,172
SKU-001,independent,2,46
SKU-001,independent,3,46
SKU-001,independent,4,49
SKU-001,independent,5,51
SKU-001,normal_optimized,0,101
SKU-001,normal_optimized,1,104
SKU-001,normal_optimized,2,28
SKU-001,normal_optimized,3,28
SKU-001,normal_optimized,4,30
SKU-001,normal_optimized,5,31
SKU-001,service_aware,0,168
SKU-001,service_aware,1,172
SKU-001,service_aware,2,65
SKU-001,service_aware,3,65
SKU-001,service_aware,4,69
SKU-001,service_aware,5,72
SKU-002,independent,0,80
SKU-002,independent,1,97
SKU-002,independent,2,24
SKU-002,independent,3,28
SKU-002,independent,4,27
SKU-002,independent,5,30
SKU-002,normal_optimized,0,48
SKU-002,normal_optimized,1,59
SKU-002,normal_optimized,2,24
SKU-002,normal_optimized,3,28
SKU-002,normal_optimized,4,27
SKU-002,normal_optimized,5,30
SKU-002,service_aware,0,80
SKU-002,service_aware,1,97
SKU-002,service_aware,2,34
SKU-002,service_aware,3,40
SKU-002,service_aware,4,38
SKU-002,service_aware,5,42
SKU-003,independent,0,37
SKU-003,independent,1,43
SKU-003,independent,2,11
SKU-003,independent,3,10
SKU-003,independent,4,11
SKU-003,independent,5,13
SKU-003,normal_optimized,0,23
SKU-003,normal_optimized,1,26
SKU-003,normal_optimized,2,11
SKU-003,normal_optimized,3,10
SKU-003,normal_optimized,4,11
SKU-003,normal_optimized,5,13
SKU-003,service_aware,0,52
SKU-003,service_aware,1,61
SKU-003,service_aware,2,11
SKU-003,service_aware,3,10
SKU-003,service_aware,4,11
SKU-003,service_aware,5,13
