split,scenario,seed,sku,policy,holding_cost,shortage_cost,demand_units,immediate_units,shortage_units,backlog_unit_days,inventory_unit_days,cost_per_day,fill_rate,mean_on_hand,measured_days
validation,normal,1001,SKU-001,independent,34946.450000000004,0.0,7044,7044,0,0,57456,194.14694444444447,1.0,319.2,180
validation,normal,1001,SKU-001,normal_optimized,12893.849999999997,10584.0,7044,6521,523,588,20192,130.4325,0.9257524134014764,112.17777777777778,180
validation,normal,1001,SKU-001,service_aware,50075.44999999999,0.0,7044,7044,0,0,71676,278.1969444444444,1.0,398.2,180
validation,normal,1002,SKU-001,independent,34583.7,216.0,7044,7032,12,12,56410,193.33166666666665,0.9982964224872232,313.3888888888889,180
validation,normal,1002,SKU-001,normal_optimized,12519.399999999996,10260.0,7044,6557,487,570,19153,126.55222222222218,0.9308631459398069,106.40555555555555,180
validation,normal,1002,SKU-001,service_aware,49699.80000000003,0.0,7044,7044,0,0,70618,276.1100000000002,1.0,392.3222222222222,180
validation,normal,1003,SKU-001,independent,34513.049999999996,90.0,7044,7039,5,5,56678,192.23916666666665,0.999290176036343,314.8777777777778,180
validation,normal,1003,SKU-001,normal_optimized,12664.300000000001,10980.0,7044,6516,528,610,19507,131.35722222222225,0.9250425894378195,108.37222222222222,180
validation,normal,1003,SKU-001,service_aware,49637.04999999999,0.0,7044,7044,0,0,70893,275.7613888888888,1.0,393.85,180
validation,normal,1004,SKU-001,independent,34638.25000000002,108.0,7044,7038,6,6,56439,193.03472222222234,0.9991482112436116,313.55,180
validation,normal,1004,SKU-001,normal_optimized,12689.400000000003,11628.0,7044,6512,532,646,19301,135.09666666666666,0.9244747302668939,107.22777777777777,180
validation,normal,1004,SKU-001,service_aware,49760.34999999998,0.0,7044,7044,0,0,70653,276.44638888888875,1.0,392.51666666666665,180
validation,normal,1005,SKU-001,independent,34938.200000000004,0.0,7044,7044,0,0,57269,194.10111111111112,1.0,318.1611111111111,180
validation,normal,1005,SKU-001,normal_optimized,12910.650000000001,9540.0,7044,6555,489,530,20012,124.72583333333334,0.9305792163543442,111.17777777777778,180
validation,normal,1005,SKU-001,service_aware,50067.19999999998,0.0,7044,7044,0,0,71489,278.151111111111,1.0,397.1611111111111,180
validation,normal,1006,SKU-001,independent,34973.650000000016,90.0,7044,7039,5,5,57554,194.79805555555564,0.999290176036343,319.74444444444447,180
validation,normal,1006,SKU-001,normal_optimized,12997.55,10494.0,7044,6534,510,583,20345,130.5086111111111,0.9275979557069847,113.02777777777777,180
validation,normal,1006,SKU-001,service_aware,50097.64999999998,0.0,7044,7044,0,0,71769,278.3202777777777,1.0,398.71666666666664,180
validation,normal,1007,SKU-001,independent,34357.200000000004,0.0,7044,7044,0,0,56772,190.87333333333336,1.0,315.4,180
validation,normal,1007,SKU-001,normal_optimized,12370.14999999999,12240.0,7044,6444,600,680,19648,136.7230555555555,0.9148211243611585,109.15555555555555,180
validation,normal,1007,SKU-001,service_aware,49486.200000000026,0.0,7044,7044,0,0,70992,274.92333333333346,1.0,394.4,180
validation,normal,1008,SKU-001,independent,34713.549999999996,306.0,7044,7027,17,17,57311,194.55305555555555,0.9975865985235661,318.39444444444445,180
validation,normal,1008,SKU-001,normal_optimized,12886.300000000003,12150.0,7044,6454,590,675,20118,139.09055555555557,0.9162407722884724,111.76666666666667,180
validation,normal,1008,SKU-001,service_aware,49823.64999999997,0.0,7044,7044,0,0,71514,276.7980555555554,1.0,397.3,180
validation,normal,1009,SKU-001,independent,34656.799999999996,144.0,7044,7036,8,8,56764,193.33777777777775,0.9988642816581488,315.35555555555555,180
validation,normal,1009,SKU-001,normal_optimized,12711.899999999998,11232.0,7044,6478,566,624,19530,133.02166666666665,0.9196479273140261,108.5,180
validation,normal,1009,SKU-001,service_aware,49776.6,0.0,7044,7044,0,0,70976,276.53666666666663,1.0,394.31111111111113,180
validation,normal,1010,SKU-001,independent,34545.700000000004,162.0,7044,7035,9,9,56724,192.8205555555556,0.9987223168654173,315.1333333333333,180
validation,normal,1010,SKU-001,normal_optimized,12595.449999999999,11016.0,7044,6498,546,612,19568,131.17472222222221,0.9224872231686542,108.71111111111111,180
validation,normal,1010,SKU-001,service_aware,49665.100000000006,0.0,7044,7044,0,0,70935,275.9172222222223,1.0,394.0833333333333,180
validation,normal,1011,SKU-001,independent,34720.84999999999,36.0,7044,7042,2,2,57116,193.09361111111107,0.9997160704145373,317.31111111111113,180
validation,normal,1011,SKU-001,normal_optimized,12688.100000000002,11196.0,7044,6493,551,622,19802,132.68944444444446,0.9217773992049971,110.0111111111111,180
validation,normal,1011,SKU-001,service_aware,49847.55000000001,0.0,7044,7044,0,0,71334,276.9308333333334,1.0,396.3,180
